ID;DatenTypID;DatumZeitID;DatumID;MonatID;DatumTextkurz;DatumKurz;WochentagID;StundenID;Preis;PreisBrutto;PreisMin;PreisMax;PreisMean;PreisMinDauer;PreisMinWartezeit;PreisMinBrutto;PreisMaxBrutto;PreisMeanBrutto;SzenarioTag;SzenarioWoche
355649;0;2023010415;20230104;1;01. Apr;104;3;15;0,08;0,31;0;0;0;0;0;0;0;0;;
355650;0;2023010416;20230104;1;01. Apr;104;3;16;0,09;0,31;0;0;0;0;0;0;0;0;;
355651;0;2023010417;20230104;1;01. Apr;104;3;17;0,07;0,3;0;0;0;0;0;0;0;0;;
355652;0;2023010418;20230104;1;01. Apr;104;3;18;0,07;0,29;0;0;0;0;0;0;0;0;;
355653;0;2023010419;20230104;1;01. Apr;104;3;19;0,04;0,24;0;0;0;0;0;0;0;0;;
355654;0;2023010420;20230104;1;01. Apr;104;3;20;0,03;0,23;0;0;0;0;0;0;0;0;;
355655;0;2023010421;20230104;1;01. Apr;104;3;21;0,04;0,24;0;0;0;0;0;0;0;0;;
355656;0;2023010422;20230104;1;01. Apr;104;3;22;0,01;0,21;0;0;0;0;0;0;0;0;;
355657;0;2023010423;20230104;1;01. Apr;104;3;23;0;0,2;0;0;0;0;0;0;0;0;;
355658;0;2023010500;20230105;1;01. Mai;105;4;0;0;0,2;0;0;0;0;0;0;0;0;;
355659;0;2023010501;20230105;1;01. Mai;105;4;1;0;0,2;0;0;0;0;0;0;0;0;;
355660;0;2023010502;20230105;1;01. Mai;105;4;2;0;0,2;0;0;0;0;0;0;0;0;;
355661;0;2023010503;20230105;1;01. Mai;105;4;3;0;0,2;0;0;0;0;0;0;0;0;;
355662;0;2023010504;20230105;1;01. Mai;105;4;4;0,01;0,21;0;0;0;0;0;0;0;0;;
355663;0;2023010505;20230105;1;01. Mai;105;4;5;0,06;0,29;0;0;0;0;0;0;0;0;;
355664;0;2023010506;20230105;1;01. Mai;105;4;6;0,09;0,31;0;0;0;0;0;0;0;0;;
355665;0;2023010507;20230105;1;01. Mai;105;4;7;0,1;0,32;0;0;0;0;0;0;0;0;;
355666;0;2023010508;20230105;1;01. Mai;105;4;8;0,13;0,36;0;0;0;0;0;0;0;0;;
355667;0;2023010509;20230105;1;01. Mai;105;4;9;0,13;0,36;0;0;0;0;0;0;0;0;;
355668;0;2023010510;20230105;1;01. Mai;105;4;10;0,14;0,37;0;0;0;0;0;0;0;0;;
355669;0;2023010511;20230105;1;01. Mai;105;4;11;0,14;0,37;0;0;0;0;0;0;0;0;;
355670;0;2023010512;20230105;1;01. Mai;105;4;12;0,14;0,37;0;0;0;0;0;0;0;0;;
355671;0;2023010513;20230105;1;01. Mai;105;4;13;0,15;0,38;0;0;0;0;0;0;0;0;;
355672;0;2023010514;20230105;1;01. Mai;105;4;14;0,16;0,39;0;0;0;0;0;0;0;0;;
355673;0;2023010515;20230105;1;01. Mai;105;4;15;0,17;0,4;0;0;0;0;0;0;0;0;;
355674;0;2023010516;20230105;1;01. Mai;105;4;16;0,19;0,42;0;0;0;0;0;0;0;0;;
355675;0;2023010517;20230105;1;01. Mai;105;4;17;0,19;0,42;0;0;0;0;0;0;0;0;;
355676;0;2023010518;20230105;1;01. Mai;105;4;18;0,18;0,41;0;0;0;0;0;0;0;0;;
355677;0;2023010519;20230105;1;01. Mai;105;4;19;0,16;0,39;0;0;0;0;0;0;0;0;;
355678;0;2023010520;20230105;1;01. Mai;105;4;20;0,15;0,38;0;0;0;0;0;0;0;0;;
355679;0;2023010521;20230105;1;01. Mai;105;4;21;0,14;0,37;0;0;0;0;0;0;0;0;;
355680;0;2023010522;20230105;1;01. Mai;105;4;22;0,13;0,36;0;0;0;0;0;0;0;0;;
355681;0;2023010523;20230105;1;01. Mai;105;4;23;0,11;0,34;0;0;0;0;0;0;0;0;;
355682;0;2023010600;20230106;1;01. Jun;106;5;0;0,1;0,33;0;0;0;0;0;0;0;0;;
355683;0;2023010601;20230106;1;01. Jun;106;5;1;0,1;0,32;0;0;0;0;0;0;0;0;;
355684;0;2023010602;20230106;1;01. Jun;106;5;2;0,08;0,31;0;0;0;0;0;0;0;0;;
355685;0;2023010603;20230106;1;01. Jun;106;5;3;0,08;0,31;0;0;0;0;0;0;0;0;;
355686;0;2023010604;20230106;1;01. Jun;106;5;4;0,08;0,31;0;0;0;0;0;0;0;0;;
355687;0;2023010605;20230106;1;01. Jun;106;5;5;0,1;0,32;0;0;0;0;0;0;0;0;;
355688;0;2023010606;20230106;1;01. Jun;106;5;6;0,11;0,34;0;0;0;0;0;0;0;0;;
355689;0;2023010607;20230106;1;01. Jun;106;5;7;0,12;0,35;0;0;0;0;0;0;0;0;;
355690;0;2023010608;20230106;1;01. Jun;106;5;8;0,12;0,35;0;0;0;0;0;0;0;0;;
355691;0;2023010609;20230106;1;01. Jun;106;5;9;0,11;0,34;0;0;0;0;0;0;0;0;;
355692;0;2023010610;20230106;1;01. Jun;106;5;10;0,11;0,34;0;0;0;0;0;0;0;0;;
355693;0;2023010611;20230106;1;01. Jun;106;5;11;0,12;0,35;0;0;0;0;0;0;0;0;;
355694;0;2023010612;20230106;1;01. Jun;106;5;12;0,11;0,34;0;0;0;0;0;0;0;0;;
355695;0;2023010613;20230106;1;01. Jun;106;5;13;0,12;0,35;0;0;0;0;0;0;0;0;;
355696;0;2023010614;20230106;1;01. Jun;106;5;14;0,13;0,36;0;0;0;0;0;0;0;0;;
355697;0;2023010615;20230106;1;01. Jun;106;5;15;0,14;0,37;0;0;0;0;0;0;0;0;;
355698;0;2023010616;20230106;1;01. Jun;106;5;16;0,16;0,39;0;0;0;0;0;0;0;0;;
355699;0;2023010617;20230106;1;01. Jun;106;5;17;0,16;0,39;0;0;0;0;0;0;0;0;;
355700;0;2023010618;20230106;1;01. Jun;106;5;18;0,15;0,38;0;0;0;0;0;0;0;0;;
355701;0;2023010619;20230106;1;01. Jun;106;5;19;0,14;0,37;0;0;0;0;0;0;0;0;;
355702;0;2023010620;20230106;1;01. Jun;106;5;20;0,13;0,36;0;0;0;0;0;0;0;0;;
355703;0;2023010621;20230106;1;01. Jun;106;5;21;0,13;0,36;0;0;0;0;0;0;0;0;;
355704;0;2023010622;20230106;1;01. Jun;106;5;22;0,12;0,35;0;0;0;0;0;0;0;0;;
355705;0;2023010623;20230106;1;01. Jun;106;5;23;0,1;0,32;0;0;0;0;0;0;0;0;;
355706;0;2023010700;20230107;1;01. Jul;107;6;0;0,1;0,32;0;0;0;0;0;0;0;0;;
355707;0;2023010701;20230107;1;01. Jul;107;6;1;0,1;0,32;0;0;0;0;0;0;0;0;;
355708;0;2023010702;20230107;1;01. Jul;107;6;2;0,09;0,31;0;0;0;0;0;0;0;0;;
355709;0;2023010703;20230107;1;01. Jul;107;6;3;0,08;0,31;0;0;0;0;0;0;0;0;;
355710;0;2023010704;20230107;1;01. Jul;107;6;4;0,08;0,31;0;0;0;0;0;0;0;0;;
355711;0;2023010705;20230107;1;01. Jul;107;6;5;0,09;0,32;0;0;0;0;0;0;0;0;;
355712;0;2023010706;20230107;1;01. Jul;107;6;6;0,1;0,33;0;0;0;0;0;0;0;0;;
355713;0;2023010707;20230107;1;01. Jul;107;6;7;0,11;0,34;0;0;0;0;0;0;0;0;;
355714;0;2023010708;20230107;1;01. Jul;107;6;8;0,11;0,34;0;0;0;0;0;0;0;0;;
355715;0;2023010709;20230107;1;01. Jul;107;6;9;0,1;0,33;0;0;0;0;0;0;0;0;;
355716;0;2023010710;20230107;1;01. Jul;107;6;10;0,09;0,31;0;0;0;0;0;0;0;0;;
355717;0;2023010711;20230107;1;01. Jul;107;6;11;0,09;0,31;0;0;0;0;0;0;0;0;;
355718;0;2023010712;20230107;1;01. Jul;107;6;12;0,09;0,32;0;0;0;0;0;0;0;0;;
355719;0;2023010713;20230107;1;01. Jul;107;6;13;0,09;0,31;0;0;0;0;0;0;0;0;;
355720;0;2023010714;20230107;1;01. Jul;107;6;14;0,09;0,31;0;0;0;0;0;0;0;0;;
355721;0;2023010715;20230107;1;01. Jul;107;6;15;0,09;0,32;0;0;0;0;0;0;0;0;;
355722;0;2023010716;20230107;1;01. Jul;107;6;16;0,1;0,32;0;0;0;0;0;0;0;0;;
355723;0;2023010717;20230107;1;01. Jul;107;6;17;0,1;0,32;0;0;0;0;0;0;0;0;;
355724;0;2023010718;20230107;1;01. Jul;107;6;18;0,09;0,32;0;0;0;0;0;0;0;0;;
